대학,학년도,전형구분,전형,모집단위,모집,경쟁률,충원,50%cut,70%cut,canon2026
성균관대,2022,학생부종합,학생부종합전형(학과모집),독어독문학,9,9.8,10,3.35,3.73,
성균관대,2022,학생부종합,학생부종합전형(학과모집),사학,9,13.3,19,1.92,2.3,
성균관대,2022,학생부종합,학생부종합전형(학과모집),사회복지학,15,14.5,22,3.33,3.42,
성균관대,2022,학생부종합,학생부종합전형(학과모집),사회학,15,15.3,30,2.48,3.21,
성균관대,2022,학생부종합,학생부종합전형(학과모집),수학교육,15,6.6,7,1.82,2.03,
성균관대,2022,학생부종합,학생부종합전형(학과모집),심리학,9,14.9,14,1.56,1.88,
성균관대,2022,학생부종합,학생부종합전형(학과모집),아동청소년학,15,11.1,16,3.06,3.33,
성균관대,2022,학생부종합,학생부종합전형(학과모집),철학,9,8.8,9,2.96,3.74,
성균관대,2022,학생부종합,학생부종합전형(학과모집),컴퓨터교육,15,7.6,10,2.07,2.22,
성균관대,2022,학생부종합,학생부종합전형(학과모집),통계학,9,11.4,7,1.73,1.85,
성균관대,2022,학생부종합,학생부종합전형(학과모집),한문교육,15,6.3,9,3.33,4,
성균관대,2022,학생부종합,학생부종합전형(학과모집),한문학,15,7.9,6,2.42,3.33,
성균관대,2023,학생부교과,학생부교과(학교장추천),경영학,10,14.4,43,99.35,99.25,
성균관대,2023,학생부교과,학생부교과(학교장추천),국어국문학,11,5.4,25,97.74,97.67,
성균관대,2023,학생부교과,학생부교과(학교장추천),글로벌경영학,5,10.6,19,98.50,97.30,
성균관대,2023,학생부교과,학생부교과(학교장추천),글로벌경제학,5,10.0,17,98.88,98.35,
성균관대,2023,학생부교과,학생부교과(학교장추천),글로벌리더학,5,10.2,21,98.91,98.78,
성균관대,2023,학생부교과,학생부교과(학교장추천),글로벌융합학부,10,10.1,44,98.82,98.34,
성균관대,2023,학생부교과,학생부교과(학교장추천),사학,11,5.5,32,98.53,98.24,
성균관대,2023,학생부교과,학생부교과(학교장추천),사회과학계열,5,21.6,33,99.20,98.97,
성균관대,2023,학생부교과,학생부교과(학교장추천),사회복지학,18,6.7,35,97.95,97.41,
성균관대,2023,학생부교과,학생부교과(학교장추천),사회학,18,10.4,85,98.74,98.60,
성균관대,2023,학생부교과,학생부교과(학교장추천),수학교육,5,6.6,16,99.08,98.96,
성균관대,2023,학생부교과,학생부교과(학교장추천),심리학,11,5.6,22,98.80,98.67,
성균관대,2023,학생부교과,학생부교과(학교장추천),아동청소년학,18,7.9,51,98.29,98.20,
성균관대,2023,학생부교과,학생부교과(학교장추천),인문과학계열,5,15.8,17,98.85,98.46,
성균관대,2023,학생부교과,학생부교과(학교장추천),철학,11,5.6,28,97.92,97.23,
성균관대,2023,학생부교과,학생부교과(학교장추천),컴퓨터교육,5,9.2,11,98.40,98.32,
성균관대,2023,학생부교과,학생부교과(학교장추천),통계학,11,8.8,24,98.92,98.74,
성균관대,2023,학생부교과,학생부교과(학교장추천),한문교육,5,7.6,6,98.08,97.85,
성균관대,2023,학생부교과,학생부교과(학교장추천),한문학,18,9.4,30,97.94,97.63,
성균관대,2023,학생부종합,학생부종합(계열모집),글로벌융합,40,16.9,159,2.69,3.28,
